	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_C178_ACAGTG_fastq	10959817	5939587	5751871	0.968396	0.00675432
sample_C179_TACAGC_fastq	11508286	8047044	7905147	0.982367	0.00574006
sample_C17_GTCCGC_fastq	2470031	2171084	2148965	0.989812	0.00809785
sample_C18_GTGAAA_fastq	7310240	6716255	6671511	0.993338	0.0092234
sample_C19_TCGAAG_fastq	5612595	4850615	4770307	0.983444	0.00978805
sample_C2010_GTAGAG_fastq	14042360	8663089	8626124	0.995733	0.00460833
sample_C2014_CAACTA_fastq	17250705	7977792	7799150	0.977608	0.0161155
sample_C201_GTCCGC_fastq	9334257	7291758	7199781	0.987386	0.0135868
sample_C202_CCGTCC_fastq	3680335	2393697	2382908	0.995493	0.00866588
sample_C203_CGTACG_fastq	4116760	1529606	1468266	0.959898	0.0147848
sample_C204_CTCAGA_fastq	3174739	666469	654919	0.98267	0.0137635
sample_C205_CATGGC_fastq	4390822	1513801	1483760	0.980155	0.010685
sample_C206_CAAAAG_fastq	3129310	372083	362724	0.974847	0.020528
sample_C206_TTAGGC_fastq	3382441	2108217	2070927	0.982312	0.0136354
sample_C207_CATTTT_fastq	11322033	2110460	2008665	0.951766	0.00957502
sample_C208_AGTTCC_fastq	3514429	1809123	1780456	0.984154	0.0144693
sample_C209_TCCCGA_fastq	6765434	2065857	1987199	0.961925	0.0136871
sample_C210_GACGAC_fastq	2495257	1856985	1803960	0.971446	0.0175902
sample_C211_GTGAAA_fastq	3319159	2787567	2602863	0.93374	0.0184213
sample_C212_ATGAGC_fastq	4209314	3007432	2521830	0.838533	0.0216486
sample_C213_CATTTT_fastq	2969790	2047439	1984135	0.969081	0.00862189
sample_C214_ATGTCA_fastq	3672507	2896638	2797135	0.965649	0.0224716
sample_C214_GTCCGC_fastq	2063937	1581463	1231994	0.779022	0.0303216
sample_C215_CACTCA_fastq	5102	1501	1332	0.887408	0.375375
sample_C215_CAGGCG_fastq	2736570	984905	904166	0.918024	0.0229084
sample_C216_ACTGAT_fastq	2762099	1496626	1316756	0.879816	0.0225008
sample_C217_CACTCA_fastq	6016860	1131762	839199	0.741498	0.0470651
sample_C218_AGTTCC_fastq	2744698	973501	831372	0.854002	0.0353789
sample_C219_CGGAAT_fastq	12617038	6680163	4310772	0.645309	0.0234211
sample_C21_GCCAAT_fastq	11595108	11109792	11091800	0.998381	0.00330866
sample_C22_TCCCGA_fastq	5322479	5041736	5027714	0.997219	0.00544979
sample_C23_CATGGC_fastq	7463225	6696270	6435633	0.961077	0.00857631
sample_C23_TGACCA_fastq	13325930	10847092	10786460	0.99441	0.00199398
sample_C24_CATTTT_fastq	7765511	7163946	7094135	0.990255	0.00833097
sample_C25_CTCAGA_fastq	8119195	7534347	7497961	0.995171	0.00504684
sample_C26_CTAGCT_fastq	6807688	6177761	6137485	0.99348	0.00758405
sample_C27_CACCGG_fastq	13163083	12299062	12205665	0.992406	0.00610503
sample_C28_TCGGCA_fastq	7337495	6683892	6449538	0.964937	0.0128991
sample_C29_TACAGC_fastq	6638179	5584087	5450899	0.976149	0.0124889
sample_C300_CACCGG_fastq	12335325	5464175	5346577	0.978478	0.00818168
sample_C301_CAGATC_fastq	11367035	4153437	4026857	0.969524	0.0135113
sample_C302_GTGGCC_fastq	7997472	5413442	2119916	0.391602	0.0732222
sample_C303_AGTCAA_fastq	85235443	15991774	13472016	0.842434	0.00606969
sample_C304_TAGCTT_fastq	3011274	242351	221163	0.912573	0.0589882
sample_C306_CAACTA_fastq	18660	14017	13874	0.989798	0.0922589
sample_C306_TTAGGC_fastq	1220726	108790	73705	0.677498	0.0857879
sample_C30_CCAACA_fastq	18920295	6177898	6107420	0.988592	0.00766494
sample_C310_GTCCGC_fastq	224526	134300	132055	0.983284	0.0314945
sample_C310_TTAGGC_fastq	9764104	5069559	4938928	0.974232	0.0134493
sample_C311_CGTACG_fastq	4036557	366750	322899	0.880434	0.023385
sample_C312_GGCTAC_fastq	4224781	747882	730753	0.977097	0.0139678
sample_C312_GTGAAA_fastq	3230533	670585	595403	0.887886	0.0208162
sample_C313_GTTTCG_fastq	5460587	3274391	3177895	0.97053	0.0106904
sample_C314_CTTGTA_fastq	7234890	4992666	4661631	0.933696	0.0117193
sample_C316_GCCAAT_fastq	14001915	11490594	10893358	0.948024	0.00631054
sample_C317_CCGTCC_fastq	20640404	10555921	10163232	0.962799	0.00528021
sample_C31_GGCTAC_fastq	17155371	16146897	16024661	0.99243	0.0055399
sample_C320_GGTAGC_fastq	11045371	8925208	8780346	0.983769	0.0080662
sample_C321_CATGGC_fastq	4157178	3359205	3268350	0.972953	0.00575367
sample_C322_CTATAC_fastq	2443998	2228958	2202272	0.988028	0.00797994
sample_C323_AGTCAA_fastq	4116562	3006605	2983071	0.992173	0.0113309
sample_C323_CACTCA_fastq	42	29	28	0.965517	0.571429
sample_C324_GTGGCC_fastq	3137027	1706827	1678346	0.983313	0.00297734
sample_C326_CGGAAT_fastq	1688284	100035	96814	0.967801	0.0218667
sample_C32_CTTGTA_fastq	27927913	24392575	24256734	0.994431	0.0104665
sample_C330_ACTGAT_fastq	6639556	4592609	4491425	0.977968	0.0079792
sample_C332_TCATTC_fastq	4454632	301720	286229	0.948658	0.0234078
sample_C333_CACGAT_fastq	3792299	2360927	2299788	0.974104	0.00763331
sample_C334_ATGAGC_fastq	1898737	1632285	1598963	0.979586	0.0103917
sample_C335_ATGAGC_fastq	2091134	398405	249922	0.627306	0.060843
sample_C336_TTAGGC_fastq	1983926	101173	82962	0.820001	0.0442492
sample_C340_CAAAAG_fastq	4293920	3414052	3349679	0.981145	0.0122654
sample_C341_ACAGTG_fastq	1581015	305936	294118	0.961371	0.0459883
sample_C342_CATTTT_fastq	8911557	2895939	2818579	0.973287	0.00658027
sample_C343_AGTTCC_fastq	3887967	961058	918172	0.955376	0.0375856
sample_C345_GTGGCC_fastq	4153812	2288455	2203230	0.962759	0.00787253
sample_C346_ATCACG_fastq	3349855	1277306	1228634	0.961895	0.0073187
sample_C34_ATGTCA_fastq	2269737	1847423	1828180	0.989584	0.0172084
sample_C350_ATTCCT_fastq	2820437	2507897	2482878	0.990024	0.0111016
sample_C351_CACGAT_fastq	47296	33823	33145	0.979954	0.094343
sample_C352_CTTGTA_fastq	4620375	1069820	1046124	0.97785	0.0258277
sample_C353_AGTTCC_fastq	2394814	1377800	1356547	0.984575	0.0199241
sample_C354_ATGTCA_fastq	8831088	7680374	7645032	0.995398	0.00485505
sample_C355_TAGCTT_fastq	3283049	2941374	2876178	0.977835	0.01054
sample_C356_CGTACG_fastq	6292411	3009725	1010702	0.335812	0.149302
sample_C35_CCGTCC_fastq	30723050	25454747	25288086	0.993453	0.00396424
sample_C361_GAGTGG_fastq	4077357	2997872	2962922	0.988342	0.0239318
sample_C362_CGTACG_fastq	2341585	1763504	1757337	0.996503	0.00537575
sample_C363_AGTCAA_fastq	4820665	3565448	3449483	0.967475	0.0189385
sample_C37_CGGAAT_fastq	5058008	4456525	4282673	0.960989	0.0105719
sample_C38_GGTAGC_fastq	5996396	4310773	4119106	0.955538	0.0241628
sample_C414_CCAACA_fastq	4501465	1466082	1421262	0.969429	0.00579837
sample_C415_AGTTCC_fastq	2828773	461322	433766	0.940267	0.0413887
sample_C416_GTTTCG_fastq	1967522	224985	217673	0.9675	0.01856
sample_C417_CTATAC_fastq	4704382	1083434	1058812	0.977274	0.00542873
sample_C423_CTTGTA_fastq	8301224	6223203	6163133	0.990347	0.00757018
sample_C424_CGTACG_fastq	5559614	3504833	3439903	0.981474	0.00533445
sample_C425_CAAAAG_fastq	5975444	3801236	3773569	0.992722	0.00527008
sample_C426_CAGGCG_fastq	4584944	3560024	3518677	0.988386	0.00457359
sample_C427_TTAGGC_fastq	6449513	4555135	4488631	0.9854	0.008047
sample_C42_ATTCCT_fastq	5211555	2607212	2577580	0.988635	0.0115352
sample_C431_GACGAC_fastq	2446731	384996	371346	0.964545	0.014539
sample_C432_CATGGC_fastq	2967040	636601	623483	0.979394	0.0088599
sample_C433_CACGAT_fastq	5382054	3353566	3312562	0.987773	0.00678689
sample_C434_CGGAAT_fastq	12857277	1776249	1373667	0.773353	0.0186362
sample_C435_ACAGTG_fastq	6238395	1399811	1372494	0.980485	0.0150981
sample_C436_TGACCA_fastq	8562700	1269866	1226271	0.96567	0.0539065
sample_C437_AGTCAA_fastq	6269758	3851983	3819244	0.991501	0.00594097
sample_C43_CATGGC_fastq	8493580	851909	830985	0.975439	0.0107968
sample_C43_GAGTGG_fastq	12195970	2587911	2501682	0.96668	0.0114735
sample_C441_ACTGAT_fastq	2020697	310380	303204	0.97688	0.0112828
sample_C442_CACTCA_fastq	2811787	1103039	1071149	0.971089	0.00613453
sample_C443_CTAGCT_fastq	6495487	1144177	1104235	0.965091	0.00721767
sample_C444_GCCAAT_fastq	3120257	440700	416532	0.94516	0.0744072
sample_C446_CTCAGA_fastq	4114579	158774	139833	0.880705	0.0174637
sample_C447_ACTTGA_fastq	2563265	820323	805806	0.982303	0.0184188
sample_C44_TCGAAG_fastq	6751505	2106785	2089582	0.991834	0.00512303
sample_C45_AGTTCC_fastq	17617679	9889341	9791302	0.990086	0.00149316
sample_C46_TGACCA_fastq	7123894	2978439	2934711	0.985318	0.00781372
sample_C47_TATAAT_fastq	10036481	689098	663710	0.963158	0.0135903
sample_C48_TAGCTT_fastq	12037784	642595	619309	0.963763	0.0146292
sample_C510_TCGGCA_fastq	8324582	6862937	6769463	0.98638	0.00648294
sample_C52_TCCCGA_fastq	8221936	5149911	5081120	0.986642	0.00656745
sample_C53_ACTGAT_fastq	6514903	5544634	5512165	0.994144	0.0110933
sample_C54_GTGAAA_fastq	4095922	2367653	2338074	0.987507	0.010143
sample_C55_TAGCTT_fastq	4935743	1396039	1373024	0.983514	0.0149116
sample_C56_TTAGGC_fastq	6961853	3297763	3217578	0.975685	0.013498
sample_C57_GTAGAG_fastq	5856792	668713	654180	0.978267	0.0220734
sample_C58_TCGAAG_fastq	14670399	10211746	10121089	0.991122	0.00747499
sample_C59_TCCCGA_fastq	41805161	316737	275299	0.869172	0.0369053
sample_C610_GACGAC_fastq	16948789	2189277	2079928	0.950052	0.0127721
sample_C614_ATTCCT_fastq	4118271	228359	212634	0.931139	0.0288242
sample_C61_CACCGG_fastq	10223257	3885710	3830038	0.985673	0.00918372
sample_C62_GTCCGC_fastq	2584595	390116	363895	0.932787	0.037923
sample_C63_CGATGT_fastq	7990245	2153740	2086654	0.968851	0.0174207
sample_C64_CGGAAT_fastq	6157375	1866438	1804616	0.966877	0.0143166
sample_C65_GGCTAC_fastq	8238286	849241	752005	0.885502	0.0225663
sample_C66_CTATAC_fastq	8086155	2697410	2461391	0.912502	0.0182884
sample_C67_ACTTGA_fastq	4092493	395494	316408	0.800032	0.0533109
sample_C68_ACTTGA_fastq	3922074	2120460	2063571	0.973171	0.0118329
sample_C69_TCATTC_fastq	11224055	4497660	4352088	0.967634	0.00926383
sample_C710_CGTACG_fastq	1013670	222358	203575	0.915528	0.0483016
sample_C714_CGATGT_fastq	1211004	469334	446607	0.951576	0.0404427
sample_C71_CATGGC_fastq	3300724	1159148	1134393	0.978644	0.0156216
sample_C72_CTTGTA_fastq	2133370	938645	841221	0.896208	0.0301443
sample_C73_GATCAG_fastq	8732887	2004226	1896132	0.946067	0.0222959
sample_C74_AGTCAA_fastq	6278720	2926535	2795850	0.955345	0.0168561
sample_C75_AGTTCC_fastq	13727947	5670623	5579689	0.983964	0.0139726
sample_C76_GACGAC_fastq	16367739	15001318	14924025	0.994848	0.0074433
sample_C77_CACTCA_fastq	1142399	54282	28176	0.519067	0.216212
sample_C77_TCGAAG_fastq	6778818	2121829	2018509	0.951306	0.0128204
sample_C78_CAAAAG_fastq	1880816	579560	572289	0.987454	0.0278356
sample_C79_GTTTCG_fastq	93801027	73113956	72390085	0.990099	0.00283466
sample_C82_ACAGTG_fastq	1931854	163761	146611	0.895274	0.0467905
sample_C83_GTAGAG_fastq	6946036	1003546	969054	0.96563	0.0213249
sample_C84_CACGAT_fastq	9111597	4367517	4265962	0.976748	0.0146663
sample_C84_GTGGCC_fastq	17884	4781	4599	0.961933	0.172864
sample_C85_CTCAGA_fastq	5473307	1622749	1595777	0.983379	0.0149213
sample_C86_CTTGTA_fastq	85821	687	624	0.908297	0.259615
sample_C87_GATCAG_fastq	2958106	1661858	1635740	0.984284	0.0142682
sample_C910_ATTCCT_fastq	3918593	1586187	912394	0.575212	0.100913
sample_C91_CCAACA_fastq	18519155	17405182	17365016	0.997692	0.00550267
sample_C92_CACCGG_fastq	353277	230828	210798	0.913225	0.0562007
sample_C92_CTCAGA_fastq	133	61	59	0.967213	0.491525
sample_C93_TCGAAG_fastq	4337097	1867425	1714036	0.917861	0.0242679
sample_C94_GTAGAG_fastq	750250	287168	278491	0.969784	0.042838
sample_C95_GTCCGC_fastq	5159921	3006098	2937810	0.977284	0.0172309
sample_C96_ACTTGA_fastq	27871588	14351132	14013356	0.976463	0.00792351
sample_C99_CTATAC_fastq	165	83	83	1	0.60241
sample_C99_TACAGC_fastq	3714448	1850152	1628332	0.880107	0.0243894
