	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_SAMPLE_9830_AD_CSF_fastq	9312697	6637812	6548408	0.986531	0.0186312
sample_SAMPLE_9830_AD_SER_fastq	8016655	894744	806466	0.901337	0.0313702
sample_SAMPLE_9834_CONTROL_CSF_fastq	24432990	11175103	10630217	0.951241	0.00976114
sample_SAMPLE_9834_CONTROL_SER_fastq	7220118	4279247	2154236	0.503415	0.0705967
sample_SAMPLE_9837_CONTROL_CSF_fastq	8449903	3771187	3513364	0.931633	0.0351785
sample_SAMPLE_9837_CONTROL_SER_fastq	5532254	2021983	1380847	0.682917	0.0614043
sample_SAMPLE_9901_PD_CSF_fastq	11100053	6409387	6284320	0.980487	0.015539
sample_SAMPLE_9901_PD_SER_fastq	3997749	2109624	1406450	0.666683	0.0536841
sample_SAMPLE_9902_CONTROL_CSF_fastq	5767423	3833297	3777378	0.985412	0.015255
sample_SAMPLE_9902_CONTROL_SER_fastq	5328436	2521988	1769769	0.701736	0.0570719
sample_SAMPLE_9905_PD_CSF_fastq	5315966	3846108	3817721	0.992619	0.00888776
sample_SAMPLE_9905_PD_SER_fastq	9894274	2134965	1301243	0.609491	0.0615511
sample_SAMPLE_9909_PD_CSF_fastq	10824369	6095761	5968461	0.979117	0.0163821
sample_SAMPLE_9909_PD_SER_fastq	8170888	1368486	724567	0.529466	0.0964424
sample_SAMPLE_9910_AD_CSF_fastq	13114149	1534436	1064383	0.693664	0.0641668
sample_SAMPLE_9910_AD_SER_fastq	5594704	1684621	424911	0.252229	0.280824
sample_SAMPLE_9914_CONTROL_CSF_fastq	3587397	1571962	1515651	0.964178	0.0204658
sample_SAMPLE_9914_CONTROL_SER_fastq	4250890	955445	621743	0.650737	0.0579548
sample_SAMPLE_9915_AD_CSF_fastq	2997063	1377893	1359587	0.986714	0.0234888
sample_SAMPLE_9915_AD_SER_fastq	297473	140165	124689	0.889587	0.0370923
sample_SAMPLE_9917_PD_CSF_fastq	18605915	11303282	10995934	0.972809	0.0185848
sample_SAMPLE_9917_PD_SER_fastq	9568536	2683083	2563581	0.955461	0.031142
sample_SAMPLE_9923_PD_CSF_fastq	2472166	1353918	1331713	0.983599	0.0246487
sample_SAMPLE_9925_CONTROL_CSF_fastq	5478435	3874428	3826733	0.98769	0.0143843
sample_SAMPLE_9925_CONTROL_SER_fastq	9743266	5540596	5151923	0.92985	0.0152097
sample_SAMPLE_9926_PD_CSF_fastq	6015121	4541388	4493606	0.989479	0.0182032
sample_SAMPLE_9926_PD_SER_fastq	3970038	2953867	2904451	0.983271	0.029859
sample_SAMPLE_9927_CONTROL_CSF_fastq	7902417	4576165	4525100	0.988841	0.0136996
sample_SAMPLE_9927_CONTROL_SER_fastq	3839663	2197659	1371764	0.624193	0.0695389
sample_SAMPLE_9928_AD_CSF_fastq	5815001	2047682	1993496	0.973538	0.0193103
sample_SAMPLE_9928_AD_SER_fastq	2452731	971717	931907	0.959031	0.0436009
sample_SAMPLE_9929_CONTROL_CSF_fastq	3945717	2289633	2263553	0.98861	0.0125922
sample_SAMPLE_9936_PD_CSF_fastq	3025124	2131956	2108572	0.989032	0.0115685
sample_SAMPLE_9936_PD_SER_fastq	2890155	500107	459346	0.918495	0.0791604
sample_SAMPLE_9938_PD_CSF_fastq	6048526	4316414	4254676	0.985697	0.0143889
sample_SAMPLE_9943_AD_CSF_fastq	5297589	3225774	3192576	0.989709	0.0165274
sample_SAMPLE_9944_CONTROL_CSF_fastq	3281780	2624972	2597535	0.989548	0.0117912
sample_SAMPLE_9944_CONTROL_SER_fastq	2408578	1956501	1829952	0.935319	0.0144681
sample_SAMPLE_9948_AD_CSF_fastq	7385071	6012078	5972305	0.993384	0.00899301
sample_SAMPLE_9948_AD_SER_fastq	9641233	431175	373031	0.86515	0.038088
sample_SAMPLE_9951_PD_CSF_fastq	5105260	1733094	1689778	0.975007	0.0210359
sample_SAMPLE_9951_PD_SER_fastq	2205488	1094248	1042564	0.952768	0.0214874
sample_SAMPLE_9952_AD_CSF_fastq	5093162	3079164	3051969	0.991168	0.0144212
sample_SAMPLE_9952_AD_SER_fastq	5432259	3569283	3023802	0.847174	0.0407027
sample_SAMPLE_9958_CONTROL_CSF_fastq	2191885	996976	968134	0.971071	0.0211035
sample_SAMPLE_9958_CONTROL_SER_fastq	1545285	402801	324772	0.806284	0.0559254
sample_SAMPLE_9960_AD_CSF_fastq	11971286	6771916	6676632	0.98593	0.014547
sample_SAMPLE_9963_PD_CSF_fastq	14163084	11466963	11379979	0.992414	0.0131886
sample_SAMPLE_9963_PD_SER_fastq	13317637	8192574	8069777	0.985011	0.0158765
sample_SAMPLE_9964_AD_CSF_fastq	14313874	9613777	9482227	0.986317	0.00998183
sample_SAMPLE_9964_AD_SER_fastq	17653506	9576202	9028230	0.942778	0.0124104
